"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | BMW | Chevrolet | Ford | Honda | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD36FC445"
"ColumnCount:",18
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"06/1992",9510,14,48,1872,1668,436,454,5228,14,40,996,790,204,310,504,6,186
"07/1992",9340,8,32,1726,1736,382,474,5128,8,26,946,814,182,302,410,,122
"08/1992",9832,18,44,1922,1818,424,492,5462,18,28,1052,868,216,296,498,6,154
"09/1992",8694,10,30,1806,1602,368,422,4704,10,24,936,708,192,248,386,6,120
"10/1992",10104,8,28,2060,1766,402,512,5788,8,26,1110,848,274,346,306,,78
"11/1992",8796,8,18,1710,1646,362,474,5238,8,16,936,730,254,314,192,,70
"12/1992",9112,14,46,1702,1776,312,518,5434,14,42,948,824,268,314,96,,26
"01/1993",7498,16,40,1502,1374,240,368,4410,16,40,844,642,192,254,134,,46
"02/1993",6994,6,18,1322,1234,234,390,4148,6,18,780,590,194,252,142,,36
"03/1993",7946,14,30,1496,1410,260,400,4578,14,28,832,640,198,254,234,2,56
"04/1993",8102,16,26,1500,1458,334,416,4578,16,24,856,674,176,282,430,2,148
"05/1993",9308,12,34,1826,1674,398,508,5188,12,32,966,720,218,312,606,2,170
"06/1993",9070,12,66,1708,1614,404,522,4946,12,54,876,708,232,348,560,12,156
"07/1993",10202,10,36,1938,1820,492,498,5494,10,30,1020,834,274,286,736,6,202
"08/1993",10268,8,36,1958,1734,486,564,5412,8,28,1086,736,252,356,726,8,218
"09/1993",9548,10,38,1820,1706,420,474,5122,10,30,954,756,238,306,616,8,174
"10/1993",10300,22,44,1900,1918,392,568,5994,22,36,1088,926,266,358,418,8,110
"11/1993",9292,20,46,1722,1794,332,456,5308,20,44,868,808,272,280,212,2,54
"12/1993",9026,12,30,1764,1764,260,520,5338,12,30,1002,850,218,346,130,,38
"01/1994",7634,6,26,1524,1476,254,420,4264,6,26,760,694,194,256,132,,52
"02/1994",7102,6,26,1344,1340,264,422,3926,6,22,652,594,212,272,156,4,50
"03/1994",8116,12,36,1608,1456,324,418,4602,12,34,870,688,232,254,288,2,84
"04/1994",8720,10,22,1714,1558,378,456,4838,10,20,916,730,240,288,416,2,130
"05/1994",9298,14,36,1698,1740,406,474,5078,14,34,850,816,234,308,578,2,150
"06/1994",9214,16,36,1654,1668,480,484,4906,16,32,846,750,284,306,548,4,182
"07/1994",10052,22,48,1912,1866,460,524,5336,22,32,950,760,256,360,700,16,190
"08/1994",10228,4,44,1818,1882,474,574,5484,4,34,892,836,272,382,588,10,190
"09/1994",9624,4,48,1820,1784,468,496,5208,4,34,958,760,290,320,504,14,160
"10/1994",10372,16,38,2012,1960,412,546,5692,16,32,1034,844,292,340,440,6,114
"11/1994",9506,10,22,1748,1868,338,528,5364,10,20,894,898,288,328,186,2,46
"12/1994",9956,16,42,1928,1852,362,540,5850,16,40,1054,862,308,346,144,2,50
"01/1995",8298,12,38,1644,1602,244,424,4634,12,32,866,730,198,258,110,4,36
"02/1995",7494,16,18,1464,1444,280,452,4358,16,16,826,668,238,286,142,2,38
"03/1995",8682,10,34,1646,1672,346,470,4846,10,30,820,770,262,284,250,4,78
"04/1995",8582,8,36,1660,1636,388,460,4840,8,34,882,716,258,306,366,2,122
"05/1995",9058,12,36,1664,1746,424,474,4932,12,36,852,778,246,306,528,,162
"06/1995",9842,14,50,1852,1700,436,554,5206,14,44,914,746,246,336,586,6,172
"07/1995",10122,14,44,1850,1860,492,572,5360,14,34,878,808,266,356,618,10,210
"08/1995",10852,6,52,1950,2002,562,618,5728,6,44,936,846,360,374,648,6,186
"09/1995",10194,18,26,1928,1862,442,514,5498,18,20,972,792,284,312,504,6,150
"10/1995",10590,20,36,2162,2014,452,526,5672,20,30,1048,878,296,328,440,6,140
"11/1995",9630,12,32,1728,1882,376,534,5360,12,32,820,818,318,322,190,,46
"12/1995",9704,18,48,1850,1854,368,542,5450,18,46,938,754,322,334,150,2,40
"01/1996",8414,6,40,1560,1682,300,432,4452,6,36,710,738,252,254,152,4,44
"02/1996",8074,8,36,1504,1512,274,398,4400,8,30,756,604,222,250,162,6,44
"03/1996",8764,12,24,1650,1642,322,498,4814,12,24,804,734,244,306,212,,68
"04/1996",8952,22,36,1638,1716,376,464,4986,22,30,858,756,272,312,370,6,100
"05/1996",9318,8,34,1746,1718,436,482,4938,8,30,834,744,280,302,490,4,142
"06/1996",10228,10,50,1826,1826,470,578,5194,10,44,868,764,268,338,674,6,172
"07/1996",9590,6,42,1790,1814,446,510,4998,6,38,858,798,260,288,514,4,170
"08/1996",10570,8,32,1974,2008,484,496,5374,8,24,940,848,292,318,628,8,168
"09/1996",9874,8,34,1864,1812,474,570,5284,8,28,940,796,290,360,494,6,160
"10/1996",10606,12,48,1970,1950,486,558,5732,12,38,1030,848,350,390,386,10,124
"11/1996",10102,16,42,1970,1870,404,536,5590,16,40,946,768,348,320,144,2,46
"12/1996",10202,14,36,1904,1946,390,578,5732,14,36,898,890,350,366,118,,34
"01/1997",8752,10,56,1622,1672,276,498,4830,10,56,848,714,250,276,104,,26
"02/1997",7720,8,26,1404,1546,324,454,4186,8,20,714,650,262,294,164,6,50
"03/1997",8576,12,34,1558,1622,392,476,4632,12,26,752,688,316,310,268,8,64
"04/1997",8734,4,36,1584,1690,354,468,4652,4,32,804,698,272,294,326,2,74
"05/1997",10174,12,34,1794,2018,480,564,5328,12,32,870,868,298,342,484,2,148
"06/1997",9908,4,34,1732,1858,514,538,5036,4,22,830,776,324,344,604,12,168
"07/1997",10252,8,36,1878,2010,542,496,5244,8,32,874,828,322,316,582,4,194
"08/1997",10578,4,38,1956,2038,532,538,5394,4,34,966,798,334,320,574,4,170
"09/1997",9432,4,30,1790,1708,442,474,4762,4,24,792,728,298,284,464,6,118
"10/1997",10318,,48,1928,1938,436,532,5388,,42,962,846,306,330,430,6,112
"11/1997",9600,14,42,1798,1914,368,524,5132,14,42,836,796,314,316,182,,40
"12/1997",10076,18,36,1828,2008,338,524,5544,18,36,930,904,296,296,126,,28
"01/1998",8510,4,44,1534,1616,288,454,4514,4,42,754,652,260,280,124,2,18
"02/1998",7700,16,32,1372,1530,316,458,4194,16,30,664,638,248,290,146,2,54
"03/1998",8508,8,36,1504,1666,324,406,4478,8,26,716,680,244,254,216,10,68
"04/1998",8524,2,38,1532,1646,398,450,4446,2,36,688,706,286,292,354,2,96
"05/1998",9540,10,42,1696,1810,450,522,4798,10,34,792,768,286,300,558,8,152
"06/1998",9544,12,24,1640,1892,446,454,4680,12,20,778,712,280,250,508,4,142
"07/1998",10430,10,52,1782,2016,540,518,5144,10,44,824,796,318,312,714,8,202
"08/1998",10946,12,42,1950,2110,512,606,5358,12,30,910,818,344,328,668,12,142
"09/1998",9826,4,38,1766,1876,540,448,4848,4,36,828,738,342,264,538,2,164
"10/1998",10144,6,48,1794,1944,458,472,5192,6,42,818,838,330,282,430,6,110
"11/1998",9662,10,42,1720,1812,434,566,5046,10,40,720,754,366,344,242,2,58
"12/1998",10510,10,40,2012,2138,362,498,5402,10,34,946,836,306,314,162,6,40
"01/1999",7834,8,30,1450,1516,336,412,4024,8,30,644,610,284,256,114,,34
"02/1999",7424,8,38,1282,1474,308,426,3828,8,34,596,594,254,256,180,4,34
"03/1999",8686,8,26,1678,1630,358,516,4464,8,26,808,666,276,336,278,,72
"04/1999",8588,4,38,1464,1644,394,456,4252,4,28,700,628,244,288,428,10,118
"05/1999",9988,10,34,1732,1892,492,482,4928,10,32,776,736,318,288,562,2,146
"06/1999",9636,2,32,1698,1832,446,442,4652,2,24,780,722,266,268,626,8,152
"07/1999",10288,14,48,1710,2010,498,480,4766,14,44,748,768,290,284,706,4,180
"08/1999",10722,12,52,1828,2136,556,496,4992,12,44,830,754,338,300,700,8,176
"09/1999",10050,2,46,1696,1934,482,536,4728,2,42,704,716,298,342,582,4,144
"10/1999",10564,10,60,1912,2150,502,544,5126,10,50,816,860,356,328,468,10,120
"11/1999",9876,10,46,1810,1918,452,522,5052,10,44,848,758,364,302,270,2,70
"12/1999",9984,6,52,1782,2076,452,520,5236,6,50,858,866,386,298,136,2,34
"01/2000",4402,5,19,791,866,170,231,2129,5,18,342,312,135,137,80,1,21
"02/2000",3904,2,16,688,808,185,202,1930,2,16,294,319,147,108,90,,28
"03/2000",4369,3,14,748,832,196,212,2119,3,11,345,316,145,136,199,3,38
"04/2000",4639,7,24,802,935,261,233,2332,7,20,357,354,185,156,248,4,62
"05/2000",4863,6,19,795,894,258,239,2295,6,17,321,321,173,152,329,2,73
"06/2000",5027,5,25,804,911,285,250,2319,5,22,359,328,164,149,400,3,103
"07/2000",5344,5,17,911,1008,288,277,2522,5,17,409,386,168,168,401,,105
"08/2000",5289,4,25,853,1016,285,272,2427,4,21,370,371,171,153,428,4,95
"09/2000",5137,2,23,850,956,241,273,2424,2,17,369,378,157,161,347,6,71
"10/2000",5178,4,21,854,977,266,258,2540,4,19,376,368,199,169,251,2,52
"11/2000",4625,3,25,799,865,214,272,2362,3,22,364,313,179,175,119,1,17
"12/2000",4817,4,25,804,966,219,274,2378,4,22,341,373,186,168,82,3,20
"01/2001",4117,2,19,707,795,186,198,2067,2,17,306,306,148,135,73,2,25
"02/2001",3956,4,24,676,745,186,230,1975,4,24,292,279,153,149,97,,27
"03/2001",4311,5,24,762,813,187,216,2131,5,20,322,316,149,148,156,4,30
"04/2001",4526,4,19,776,832,225,250,2194,4,16,353,323,152,166,308,3,58
"05/2001",5028,10,20,801,924,284,276,2306,10,14,316,352,187,158,357,4,82
"06/2001",4873,4,23,850,896,294,256,2246,4,19,345,309,164,158,402,4,92
"07/2001",5229,3,24,878,997,327,264,2398,3,17,379,367,197,167,441,7,109
"08/2001",5373,6,20,888,996,297,282,2471,6,15,366,361,169,191,425,4,102
"09/2001",4930,6,20,782,940,274,250,2275,6,16,337,353,161,158,388,4,90
"10/2001",5304,7,27,857,974,287,258,2524,7,22,335,353,209,164,271,5,57
"11/2001",5104,4,24,905,972,261,273,2440,4,22,341,388,188,166,200,2,47
"12/2001",5167,5,27,930,1007,273,304,2561,5,22,373,388,209,187,142,4,40
"01/2002",4567,5,20,789,880,231,242,2256,5,16,338,328,185,151,102,2,23
"02/2002",4034,2,24,719,766,194,242,1974,2,22,296,279,153,153,127,2,24
"03/2002",4727,4,20,790,919,255,251,2284,4,19,332,336,195,158,184,1,40
"04/2002",4455,3,24,743,844,240,222,2142,3,18,317,357,170,140,259,4,56
"05/2002",5008,5,22,795,923,296,268,2317,5,16,314,354,181,164,374,5,97
"06/2002",5155,7,21,799,949,312,264,2291,7,16,304,324,177,153,451,4,112
"07/2002",5262,3,29,871,986,321,275,2369,3,23,343,354,187,158,431,6,103
"08/2002",5314,6,22,863,954,353,288,2310,6,19,316,324,201,167,482,2,117
"09/2002",5109,2,28,845,949,291,265,2330,2,24,352,301,174,176,431,4,94
"10/2002",5154,2,28,865,955,237,270,2406,2,24,335,360,159,162,249,1,54
"11/2002",4796,5,19,822,887,243,310,2313,5,17,343,302,177,183,178,1,45
"12/2002",4845,9,21,826,918,217,293,2383,9,20,348,326,174,183,93,1,19
"01/2003",4167,2,18,698,815,188,249,1947,2,18,263,271,151,149,85,,15
"02/2003",3809,2,9,626,748,201,220,1778,2,7,253,268,155,139,98,,30
"03/2003",4370,3,22,732,823,230,250,2042,3,19,303,288,161,161,216,3,50
"04/2003",4812,7,23,809,920,316,228,2194,7,16,324,327,205,146,376,7,86
"05/2003",4924,6,25,801,903,269,259,2250,6,23,330,335,160,162,373,2,76
"06/2003",5126,8,23,823,905,300,274,2253,8,21,333,319,179,172,460,1,97
"07/2003",5373,3,30,842,943,321,290,2276,3,21,326,330,183,163,509,8,103
"08/2003",5574,7,36,909,1009,364,280,2390,7,31,327,344,225,154,536,4,106
"09/2003",5070,9,27,755,925,302,291,2222,9,22,281,314,181,189,472,4,94
"10/2003",5482,5,32,891,1062,309,280,2460,5,25,334,372,203,182,351,4,68
"11/2003",5279,6,28,830,983,305,297,2522,6,27,324,327,228,188,198,1,48
"12/2003",4891,6,24,809,957,219,311,2236,6,22,281,306,169,183,128,2,25
"01/2004",4505,9,16,722,841,229,260,2075,9,15,275,312,178,158,125,1,23
"02/2004",4055,4,24,644,781,218,221,1929,4,23,246,278,161,134,145,1,36
"03/2004",4449,3,19,752,812,249,254,2033,3,16,308,271,165,169,270,1,61
"04/2004",4683,5,25,710,866,274,238,2086,5,20,278,274,169,152,366,5,79
"05/2004",5152,4,25,819,894,312,273,2203,4,23,307,314,179,155,469,1,97
"06/2004",5145,7,22,793,957,323,273,2131,7,17,298,295,186,166,480,3,106
"07/2004",5294,4,32,819,887,373,266,2182,4,25,308,280,209,146,576,7,126
"08/2004",5419,7,30,787,974,376,293,2199,7,24,278,313,208,166,549,6,130
"09/2004",4910,6,23,784,836,304,268,2032,6,13,301,265,174,152,464,8,111
"10/2004",5231,10,23,826,921,327,323,2283,10,19,317,281,217,177,349,3,77
"11/2004",4849,5,24,799,903,261,289,2224,5,21,301,297,194,164,191,2,40
"12/2004",5037,7,11,827,943,274,287,2311,7,9,317,329,205,177,136,1,34
"01/2005",4298,5,16,711,784,231,244,1968,5,14,261,271,173,148,148,1,27
"02/2005",4011,4,22,651,757,223,212,1812,4,19,240,245,165,134,130,1,26
"03/2005",4411,10,21,680,769,249,249,1959,10,18,260,260,178,149,239,3,45
"04/2005",4914,7,28,758,824,312,253,2054,7,24,278,263,196,141,446,2,98
"05/2005",5019,5,40,752,911,332,275,2084,5,27,253,293,186,160,487,10,107
"06/2005",5186,3,23,819,871,340,323,2086,3,18,311,252,191,186,527,4,111
"07/2005",5683,9,31,885,959,363,303,2285,9,25,306,295,191,181,622,3,115
"08/2005",5282,8,31,789,911,350,285,2171,8,23,296,310,185,175,579,5,126
"09/2005",5081,3,39,706,914,344,270,2034,3,25,262,273,184,170,609,14,126
"10/2005",5504,10,28,888,995,329,296,2314,10,22,335,323,216,176,458,5,83
"11/2005",5212,5,38,839,935,313,296,2266,5,33,293,299,207,164,291,4,63
"12/2005",4894,8,27,787,950,258,296,2141,8,24,261,278,200,175,146,2,25
"01/2006",4411,5,32,703,788,238,265,1960,5,30,253,255,166,164,191,1,40
"02/2006",4047,5,17,672,701,221,264,1778,5,15,260,215,166,155,161,1,32
"03/2006",4612,6,32,730,793,277,258,1999,6,27,253,256,190,146,297,2,51
"04/2006",4658,7,22,693,763,328,261,1906,7,15,250,242,181,166,493,5,100
"05/2006",5117,8,43,716,851,359,282,2116,8,33,258,282,216,178,575,8,105
"06/2006",5120,8,21,747,835,332,292,1994,8,15,269,252,165,162,589,6,119
"07/2006",5236,9,35,790,866,358,309,2066,9,23,285,275,183,179,652,9,127
"08/2006",5153,7,19,724,854,350,283,2064,7,16,281,253,188,163,613,2,119
"09/2006",4956,6,26,727,810,360,264,1997,6,19,259,259,180,155,555,6,126
"10/2006",5235,6,38,803,931,321,325,2211,6,36,290,302,214,195,360,2,65
"11/2006",4793,11,30,756,857,264,309,2038,11,27,253,283,162,179,300,2,58
"12/2006",4756,8,33,752,851,259,301,2134,8,30,272,280,199,179,176,1,36
"01/2007",4060,6,29,663,715,244,278,1791,6,24,232,232,171,167,138,2,35
"02/2007",3968,6,24,639,688,208,233,1730,6,21,232,230,159,137,151,2,27
"03/2007",4746,9,24,724,819,301,266,1927,9,18,274,248,193,165,392,2,68
"04/2007",4614,8,34,619,824,326,295,1960,8,28,236,259,188,195,438,3,106
"05/2007",4899,7,27,722,793,339,241,1923,7,21,246,279,167,150,646,3,136
"06/2007",4961,8,30,729,794,339,289,1939,8,23,259,252,179,169,626,5,118
"07/2007",5123,7,27,730,844,340,287,1933,7,17,246,249,160,171,686,9,139
"08/2007",5029,6,32,709,837,354,304,1909,6,25,212,267,179,169,660,6,138
"09/2007",4753,10,34,712,770,312,245,1808,10,20,263,234,155,161,635,11,114
"10/2007",4961,4,33,749,770,328,309,2022,4,27,282,233,188,201,489,3,96
"11/2007",4640,7,35,706,802,265,329,1981,7,28,239,255,175,181,268,3,51
"12/2007",4499,8,25,760,811,269,275,1940,8,23,262,260,181,156,176,2,38
"01/2008",3916,5,26,622,684,201,256,1786,5,22,236,232,151,159,148,1,24
"02/2008",3929,5,23,597,655,213,279,1714,5,19,237,222,154,172,193,,34
"03/2008",3834,11,25,616,679,218,240,1661,11,22,217,237,135,139,294,1,44
"04/2008",4021,2,32,559,675,300,241,1569,2,26,188,189,156,151,501,4,106
"05/2008",4329,7,26,607,691,312,270,1679,7,16,224,232,134,157,613,8,119
"06/2008",4487,8,28,655,693,370,262,1682,8,20,221,212,162,159,698,5,154
"07/2008",4422,6,21,621,640,332,229,1638,5,17,220,206,144,129,717,2,142
"08/2008",4663,9,33,624,727,343,279,1758,9,27,233,215,135,166,745,6,157
"09/2008",4185,5,40,564,605,280,256,1562,5,31,184,186,129,146,574,7,105
"10/2008",4512,8,31,641,694,295,287,1871,8,23,243,224,160,179,483,3,97
"11/2008",4151,8,34,680,715,237,263,1781,8,28,245,200,162,174,278,2,45
"12/2008",4211,3,32,701,736,240,267,1780,3,31,260,213,166,173,165,1,28
"01/2009",3565,5,33,577,639,204,270,1528,5,24,212,201,145,156,144,5,20
"02/2009",3171,5,23,496,546,201,197,1397,5,19,176,185,136,126,209,3,38
"03/2009",3459,5,26,569,554,213,244,1418,5,21,203,163,134,150,273,3,43
"04/2009",3930,8,35,577,607,229,278,1558,7,29,198,169,115,178,465,4,79
"05/2009",4100,8,34,607,651,326,238,1616,6,27,207,211,165,137,582,5,111
"06/2009",4013,9,25,590,627,302,265,1541,9,18,207,186,155,160,551,2,102
"07/2009",4083,7,27,589,655,294,263,1470,5,19,192,187,159,150,592,4,100
"08/2009",4196,7,28,612,630,313,242,1617,7,22,218,191,162,150,581,3,98
"09/2009",3869,3,31,556,610,256,245,1538,3,23,217,189,130,150,511,6,91
"10/2009",3857,8,20,618,665,255,252,1615,8,17,213,206,157,139,308,2,60
"11/2009",3720,9,21,562,625,243,272,1593,9,18,193,210,145,171,283,2,54
"12/2009",3577,8,27,562,622,185,263,1523,7,22,193,177,124,167,103,1,25
"01/2010",3107,5,26,451,544,177,218,1371,5,25,155,173,124,146,125,,16
"02/2010",2801,8,22,454,450,188,203,1211,8,17,157,146,136,121,110,4,18
"03/2010",3336,5,19,491,532,223,210,1434,5,17,166,167,140,149,265,,49
"04/2010",3804,5,42,518,601,273,274,1542,5,32,187,189,127,167,468,6,105
"05/2010",3956,7,27,572,559,298,265,1540,7,23,202,172,151,164,551,3,95
"06/2010",3821,3,20,574,613,285,237,1390,2,14,206,176,135,149,587,4,107
"07/2010",4200,5,45,610,616,317,264,1525,5,28,207,168,139,146,619,12,114
"08/2010",4183,6,32,593,621,270,271,1522,6,23,201,177,131,167,629,8,95
"09/2010",4094,10,29,556,673,263,257,1529,10,21,196,176,124,158,526,7,87
"10/2010",4136,4,35,626,624,288,260,1655,4,26,208,189,177,165,442,5,69
"11/2010",3854,4,25,566,652,233,274,1578,4,20,197,183,147,161,214,3,34
"12/2010",3570,9,21,567,617,218,253,1511,9,14,168,186,151,157,115,2,24
"01/2011",3076,6,27,474,517,213,222,1345,6,24,164,161,159,134,153,2,31
"02/2011",2868,3,22,441,467,175,215,1167,2,17,145,126,116,126,182,4,34
"03/2011",3311,5,28,507,527,197,253,1341,5,24,176,162,117,142,267,3,45
"04/2011",3508,2,28,523,547,243,228,1433,2,20,195,166,133,143,408,5,72
"05/2011",3744,10,32,531,567,254,237,1415,9,28,203,165,132,148,533,3,92
"06/2011",3937,7,18,554,569,300,236,1446,7,14,193,163,137,134,603,3,114
"07/2011",4232,11,26,571,636,358,272,1591,9,20,214,184,165,166,652,3,138
"08/2011",4109,7,25,604,580,306,262,1469,6,17,220,161,132,160,640,7,128
"09/2011",3824,5,32,505,607,262,244,1458,5,21,193,195,144,145,507,8,75
"10/2011",4194,6,31,587,632,278,280,1694,5,22,207,174,148,167,444,4,82
"11/2011",3692,11,38,535,568,218,305,1588,11,30,194,163,136,196,235,2,45
"12/2011",3624,8,20,545,589,222,286,1564,8,18,200,170,152,169,144,1,25
"01/2012",3330,4,31,526,555,188,255,1454,3,22,183,160,131,166,174,4,22
"02/2012",3189,7,23,480,529,206,230,1390,7,20,160,188,140,139,161,1,34
"03/2012",3678,17,24,530,516,265,247,1461,16,21,176,177,143,149,439,2,81
"04/2012",3548,3,26,498,524,268,214,1435,3,22,192,163,157,120,451,3,82
"05/2012",3966,6,36,579,607,309,242,1479,6,23,193,185,141,149,579,10,111
"06/2012",4131,12,45,576,570,316,258,1500,12,32,179,158,137,159,664,10,107
"07/2012",4164,12,24,594,656,307,265,1548,11,17,199,191,149,160,603,5,104
"08/2012",4258,9,31,575,617,309,296,1578,8,23,209,172,161,168,623,4,100
"09/2012",4074,5,36,572,586,259,285,1563,5,21,206,190,126,161,575,12,86
"10/2012",3997,11,30,590,598,260,291,1608,11,20,223,183,151,174,395,6,57
"11/2012",3853,12,23,588,608,230,275,1624,12,18,218,154,151,170,276,2,40
"12/2012",3772,9,32,606,606,243,302,1633,9,28,225,171,168,187,168,1,27
"01/2013",3416,5,25,522,523,217,267,1424,4,20,173,149,139,158,163,3,35
"02/2013",2845,6,23,428,453,183,221,1177,6,20,135,120,124,130,135,1,24
"03/2013",3552,9,41,487,545,223,279,1488,7,32,186,167,140,183,301,4,44
"04/2013",3464,15,30,453,528,258,273,1399,15,17,172,163,134,163,397,6,72
"05/2013",3817,8,35,528,547,298,274,1445,8,28,192,164,141,170,504,3,104
"06/2013",4009,12,34,519,596,297,285,1481,12,21,187,183,157,170,573,7,85
"07/2013",3933,17,42,573,524,291,241,1453,16,34,191,152,123,137,583,6,108
"08/2013",4304,18,34,558,583,347,305,1607,17,29,210,160,162,187,695,4,139
"09/2013",4106,13,39,533,588,316,286,1587,12,27,196,175,153,185,612,10,109
"10/2013",4135,7,33,617,609,269,285,1622,7,22,225,165,158,180,433,6,67
"11/2013",3803,6,29,571,590,253,260,1651,6,24,212,179,165,179,265,3,41
"12/2013",3717,10,32,593,550,197,330,1624,9,28,232,169,123,203,137,2,26
"01/2014",3260,10,26,459,528,183,269,1362,9,21,160,143,112,170,164,2,26
"02/2014",2802,8,21,432,451,184,236,1192,8,16,160,129,124,145,145,,25
"03/2014",3374,13,33,463,508,241,264,1379,11,23,165,142,144,169,279,3,46
"04/2014",3478,6,31,478,513,265,247,1395,6,21,175,158,141,141,389,5,71
"05/2014",3891,13,35,533,494,263,261,1507,13,24,177,175,132,166,564,5,83
"06/2014",3887,6,40,532,541,300,276,1395,6,28,187,151,136,177,621,7,101
"07/2014",4011,16,30,560,550,309,282,1476,16,24,197,158,144,168,590,4,93
"08/2014",4175,13,49,599,596,323,262,1587,11,35,190,203,171,160,585,10,93
"09/2014",3897,11,36,537,523,294,301,1480,9,21,187,155,141,195,522,10,91
"10/2014",4242,10,46,551,637,290,344,1720,9,31,214,189,180,202,422,5,61
"11/2014",4044,11,40,583,620,282,292,1715,9,30,203,182,189,184,243,3,39
"12/2014",3889,13,40,575,624,275,338,1688,12,32,196,206,173,197,181,3,31
"01/2015",3584,10,38,559,560,243,291,1557,7,36,192,168,163,170,167,1,33
"02/2015",3057,6,25,431,481,205,249,1280,4,21,154,147,127,159,152,2,26
"03/2015",3721,6,36,580,568,247,257,1537,6,23,213,147,146,167,320,9,55
"04/2015",3741,10,40,512,526,265,264,1489,9,30,190,143,149,166,430,8,61
"05/2015",4333,17,33,610,619,320,299,1689,15,25,220,191,168,178,575,6,85
"06/2015",4260,7,44,563,591,321,327,1639,7,27,223,170,164,204,585,13,99
"07/2015",4628,6,39,641,598,350,346,1714,4,28,232,158,161,211,666,7,117
"08/2015",4630,13,41,624,639,349,342,1728,9,24,222,195,170,182,647,11,113
"09/2015",4380,9,41,566,651,317,290,1715,5,32,213,183,165,194,560,8,93
"10/2015",4610,11,51,620,644,331,375,1849,11,35,245,195,176,231,493,7,74
"11/2015",4212,16,46,581,634,267,378,1775,12,37,206,199,162,218,269,3,52
"12/2015",4322,10,51,664,639,304,357,1846,10,43,244,218,186,210,266,3,47
"01/2016",3483,20,33,501,516,231,285,1521,16,27,167,176,149,162,160,4,24
"02/2016",3668,10,39,524,532,271,294,1587,7,34,202,174,180,177,243,1,43
"03/2016",4065,6,33,569,557,318,345,1709,5,22,218,191,186,211,346,4,60
"04/2016",4172,22,41,564,591,309,321,1649,19,29,186,170,157,195,472,8,77
"05/2016",4580,15,44,633,606,345,340,1750,10,35,232,163,178,199,634,7,102
"06/2016",4721,15,47,637,652,379,358,1809,14,32,230,182,202,207,617,8,102
"07/2016",4583,10,55,627,614,331,340,1711,8,33,226,173,181,207,653,11,81
"08/2016",4794,9,44,661,656,364,368,1812,6,34,236,185,186,218,635,9,104
"09/2016",4758,16,44,613,648,327,366,1773,16,26,212,178,159,210,630,14,103
"10/2016",4933,15,49,651,696,339,407,1978,12,36,241,208,189,241,537,8,77
"11/2016",4570,17,40,608,668,367,365,1927,14,33,211,198,226,218,344,3,54
"12/2016",4387,14,53,621,656,313,391,1853,11,42,215,182,190,239,193,3,34
"01/2017",3988,20,36,580,564,264,355,1734,14,27,200,174,176,220,195,,25
"02/2017",3487,12,35,543,454,251,276,1467,7,21,191,150,166,172,271,7,30
"03/2017",4183,10,45,566,611,281,324,1791,9,27,224,181,168,198,328,4,43
"04/2017",4257,10,45,554,582,298,349,1718,9,32,195,213,158,219,517,7,78
"05/2017",4523,14,44,622,590,357,373,1764,13,32,206,164,195,225,537,7,88
"06/2017",4752,16,48,630,667,369,367,1804,10,30,234,188,186,218,643,13,109
"07/2017",4980,18,57,663,683,387,338,1819,12,39,231,197,198,200,724,11,103
"08/2017",4515,11,49,584,624,336,357,1744,10,34,219,194,152,220,586,12,104
"09/2017",4874,13,51,589,625,382,410,1875,10,36,213,192,193,267,652,12,120
"10/2017",4726,16,37,604,677,326,394,1809,14,20,214,190,180,232,438,8,63
"11/2017",4441,13,50,597,680,299,428,1883,11,37,227,219,183,239,283,5,34
"12/2017",4402,6,48,632,675,306,371,1873,3,33,232,198,177,211,211,4,37
"01/2018",4056,17,46,578,599,298,370,1749,15,36,228,190,188,214,202,2,35
"02/2018",3547,9,37,467,479,256,317,1446,6,29,164,133,164,186,217,3,31
