"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | BMW | Chevrolet | Ford | Honda | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD36FC445"
"ColumnCount:",18
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"11/1978",11308,22,18,2576,2304,228,258,11140,22,18,2560,2296,226,254,,,
"12/1978",11422,12,16,2658,2324,202,258,11214,12,16,2646,2308,202,252,,,
"01/1979",8192,22,8,1778,1590,122,192,8080,22,8,1774,1582,122,192,,,
"02/1979",8318,20,12,1854,1704,122,196,8194,20,12,1846,1686,122,196,,,
"03/1979",10402,16,12,2380,1958,264,242,10254,16,12,2374,1948,264,236,,,
"04/1979",10404,12,18,2400,1898,350,230,10258,12,18,2392,1880,350,228,,,
"05/1979",10982,10,18,2358,1980,478,218,10802,10,18,2346,1962,478,216,,,
"06/1979",11226,8,32,2254,2038,524,226,10968,8,32,2240,2018,520,224,,,
"07/1979",11802,14,24,2418,2090,516,234,11596,14,24,2406,2064,516,230,,,
"08/1979",11882,20,24,2460,2248,542,280,11716,20,24,2436,2230,542,280,,,
"09/1979",11684,14,26,2628,2252,430,266,11556,14,26,2616,2234,430,264,,,
"10/1979",11750,18,18,2722,2182,276,212,11590,18,18,2716,2160,276,212,,,
"11/1979",11124,6,12,2532,2168,198,248,10958,6,12,2516,2150,198,246,,,
"12/1979",11758,18,34,2722,2340,220,272,11632,18,34,2706,2330,220,268,,,
"01/1980",8668,16,16,1920,1794,128,214,8600,16,16,1916,1784,128,212,,,
"02/1980",8194,2,6,1874,1560,166,192,8126,2,6,1872,1556,166,192,,,
"03/1980",9070,10,20,2032,1768,218,222,8994,10,20,2024,1758,218,222,,,
"04/1980",9452,10,10,1920,1806,344,248,9358,10,10,1920,1792,342,246,,,
"05/1980",11248,12,30,2376,2042,522,300,11146,12,30,2368,2034,522,300,,,
"06/1980",11972,14,38,2546,2168,536,262,11860,14,38,2534,2156,536,262,,,
"07/1980",11902,14,30,2496,2074,580,314,11788,14,30,2486,2062,580,312,,,
"08/1980",13202,26,42,2934,2246,590,352,13070,26,42,2930,2222,590,350,,,
"09/1980",11112,10,32,2494,2004,458,278,11004,10,32,2482,1990,458,278,,,
"10/1980",10898,24,22,2382,2050,286,322,10790,24,22,2372,2040,286,322,,,
"11/1980",10608,6,20,2362,2050,228,310,10534,6,20,2358,2046,228,308,,,
"12/1980",10644,36,20,2448,2040,172,282,10586,36,20,2444,2032,172,280,,,
"01/1981",9080,16,30,2096,1756,158,250,8888,16,30,2064,1732,154,250,,,
"02/1981",8682,18,30,1876,1672,208,268,8556,18,30,1852,1654,206,268,,,
"03/1981",9312,8,14,2076,1786,278,316,9174,8,12,2064,1766,272,314,,,
"04/1981",9872,8,14,2166,1772,346,282,9708,8,12,2154,1752,342,280,,,
"05/1981",10690,16,12,2212,1908,382,276,10528,16,12,2200,1892,378,276,,,
"06/1981",11108,14,38,2244,1860,442,320,10904,14,38,2222,1840,436,318,,,
"07/1981",11952,26,36,2446,1998,570,316,11728,26,36,2424,1982,560,314,,,
"08/1981",12442,20,28,2450,2190,592,384,12218,20,26,2434,2170,588,384,,,
"09/1981",10852,14,24,2156,2006,482,318,10660,14,24,2144,1984,476,316,,,
"10/1981",10900,28,22,2424,2008,298,318,10734,28,22,2402,1994,294,318,,,
"11/1981",10162,16,16,2260,1928,240,350,10008,16,16,2234,1906,240,350,,,
"12/1981",10346,16,22,2260,1974,200,354,10222,16,22,2256,1956,200,350,,,
"01/1982",7652,6,14,1702,1412,156,244,7542,6,14,1700,1412,156,244,,,
"02/1982",7282,12,18,1580,1254,194,252,7202,12,18,1580,1254,194,252,,,
"03/1982",8612,26,24,1820,1550,244,258,8514,26,24,1820,1550,244,258,,,
"04/1982",9158,10,28,1974,1562,294,296,9080,10,28,1974,1562,294,296,,,
"05/1982",9886,6,20,2024,1612,478,310,9776,6,20,2020,1612,478,310,,,
"06/1982",9872,20,30,2080,1690,410,280,9750,20,30,2080,1690,410,280,,,
